"Research that uses data from D-PLACE should cite both the original source(s) of  the data and the paper by Kirby et al. in which D-PLACE was first presented  (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001);  Binford and Johnson (2006); Kirby et al. Submitted)."" The reference list should include the date data were  accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001),  Binford and Johnson (2006), and Kirby et al. Submitted."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Focal Year: EA027 Kin terms for cousins,Code: EA027 Kin terms for cousins,Description: EA027 Kin terms for cousins,Comment: EA027 Kin terms for cousins,Subcase: EA027 Kin terms for cousins,References: EA027 Kin terms for cousins,Focal Year: EA043 Descent: major type,Code: EA043 Descent: major type,Description: EA043 Descent: major type,Comment: EA043 Descent: major type,Subcase: EA043 Descent: major type,References: EA043 Descent: major type
Ethnographic Atlas,Laka,Ai13,xd341,Laka (Ai13),8.0,16.0,8.0,16.0,laka1252,Laka (Nigeria),lak,Atlantic-Congo,,NA,Missing data,,,,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Tessmann(1929); 
Ethnographic Atlas,Mondari,Aj16,xd391,Mondari (Aj16),6.0,31.0,6.0,31.0,mand1425,Mandari,mqu,Nilotic,,NA,Missing data,,,,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,with special reference to the Riverain Mondari,Nalder(1937); Buxton(1958); Huntingford(1953a); 
Ethnographic Atlas,Ami,Ia9,xd749,Ami (Ia9),22.7,121.05,22.0,121.0,amis1246,Amis,ami,Austronesian,1930,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,with special reference to the southern Ami,Mabuchi(1960); Wei(1961); ,1930,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,with special reference to the southern Ami,Mabuchi(1960); Wei(1961); 
Ethnographic Atlas,Gisiga,Ai17,xd345,Gisiga (Ai17),10.0,14.0,10.0,14.0,sout3051,South Giziga,giz,Afro-Asiatic,,NA,Missing data,,,,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Fourneau(1938); Lembezat(1961); 
Ethnographic Atlas,Alur,Aj17,xd392,Alur (Aj17),2.0,31.0,2.0,31.0,alur1250,Alur,alz,Nilotic,1890,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,,Southall(1956); Demuenynck(1908); Stuhlmann(1894); Stirton(1925); ,1890,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Southall(1956); Demuenynck(1908); Stuhlmann(1894); Stirton(1925); 
Ethnographic Atlas,Ye'kuana,Sc16,xd1342,Yekuana (Sc16),3.0,-65.0,3.0,-65.0,maqu1238,Maquiritari,mch,Cariban,1920,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",But sibling terms are employed for cross-cousins of opposite sex,with special reference to the Makitare,Koch-Grunberg(1923b); Wilbert(1963); Wilbert(1958c); Barandiaran(1962); ,1920,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)","See related comment(s) by Murdock: variable EA021: Or possibly quasi-lineages (code ""6"")",with special reference to the Makitare,Koch-Grunberg(1923b); Wilbert(1963); Wilbert(1958c); Barandiaran(1962); 
Ethnographic Atlas,Tequistlatec,Nj14,xd1300,Tequistlatec (Nj14),16.0,-96.0,16.0,-96.0,high1242,Highland Oaxaca Chontal,chd,Tequistlatecan,1960,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Turner and Olmstead(1966); ,1960,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Turner and Olmstead(1966); 
Ethnographic Atlas,Eastern Mono,Nd30,xd1164,Eastern Mono (Nd30),37.0,-118.0,37.0,-118.0,mono1275,Mono (USA),mnr,Uto-Aztecan,1870,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Steward(1933); Driver(1937); ,1870,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Steward(1933); Driver(1937); 
Ethnographic Atlas,Druze,Cj8,xd594,Druze (Cj8),32.77,35.03,33.0,35.0,sunn1238,Sunni Beiruti Arabic,,Afro-Asiatic,1930,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,with special reference to those of Mount Carmel in Israel,Kasdan(1961); Kasdan(1965); ,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,with special reference to those of Mount Carmel in Israel,Kasdan(1961); Kasdan(1965); 
Ethnographic Atlas,Koso,Nd31,xd1165,Koso (Nd31),36.0,-118.0,36.0,-118.0,pana1305,Panamint,par,Uto-Aztecan,1850,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Steward(1938); Driver(1937); ,1850,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Steward(1938); Driver(1937); 
Ethnographic Atlas,Kazan tatar,ch20,xd558,Kazan tatar (ch20),55.0,50.0,55.0,50.0,midd1325,Middle Tatar,,Turkic,1910,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,with special reference to those of the Altayrskij Uezd,Kozlova(1964); Speranskij(1914); Suharev(1904); Karlov(1990); Ahmarov(1907); Pinegin(1891); Vorob'ev(1953); Znamenskij(1910); Vorob'ev and Hisamutdinov(1967); Putsykovich(1900); Rittih(1870); Ishakov et al.(1998); Maksimov(1997b); Maksimov(1997a); Ramazanova(1991); Kozlova(1982); ,1910,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,with special reference to those of the Altayrskij Uezd,Kozlova(1964); Speranskij(1914); Suharev(1904); Karlov(1990); Ahmarov(1907); Pinegin(1891); Vorob'ev(1953); Znamenskij(1910); Vorob'ev and Hisamutdinov(1967); Putsykovich(1900); Rittih(1870); Ishakov et al.(1998); Maksimov(1997b); Maksimov(1997a); Ramazanova(1991); Kozlova(1982); 
Ethnographic Atlas,Tubaduka,Nd40,xd1175,Tubaduka (Nd40),40.0,-113.0,40.0,-113.0,west2622,Western Shoshoni,,Uto-Aztecan,1870,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Steward(1943); Steward(1938); ,1870,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Steward(1943); Steward(1938); 
Ethnographic Atlas,Bihari,Ef10,xd662,Bihari (Ef10),25.0,86.0,25.0,86.0,mait1250,Maithili,mai,Indo-European,1880,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,Ganges River Valley,Karve(1953); Mitra(1894); Grierson(1885); ,1880,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,Ganges River Valley,Karve(1953); Mitra(1894); Grierson(1885); 
Ethnographic Atlas,Zazzagawa Hausa,Cb26,xd476,Zazzagawa Hausa (Cb26),11.0,8.0,11.0,8.0,araw1280,Arawa,,Afro-Asiatic,1950,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",Also commonly Hawaiian,Zazzagawa of Zaria,Smith(1960); Smith(1955b); Smith(1954a); Greenberg(1946); Hill(1972); Smith(1967); Prothero(1957); Greenberg(1947); Smith(1978); Dry(1956); Smith(1965); Smith(1962); ,1950,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,Zazzagawa of Zaria,Smith(1960); Smith(1955b); Smith(1954a); Greenberg(1946); Hill(1972); Smith(1967); Prothero(1957); Greenberg(1947); Smith(1978); Dry(1956); Smith(1965); Smith(1962); 
Ethnographic Atlas,Sateré Mawé,Sd5,xd1357,Maue (Sd5),-4.0,-57.0,-4.0,-57.0,sate1243,Sateré-Mawé,mav,Tupian,,NA,Missing data,,,,1950,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Lecock(1964); Nimuendaju(1948); 
Ethnographic Atlas,Digo,Ad30,xd99,Digo (Ad30),-4.0,39.0,-4.0,39.0,digo1243,Digo,dig,Atlantic-Congo,,NA,Missing data,,,,1890,2,"Duolateral (EA017 > 1, EA019 > 1, EA021 = 9 or EA021 = 0)",,,Prins(1952); St. Paul-Hilaire(1895); Baumann(1891); 
Ethnographic Atlas,Seneca,Ng10,xd1245,Iroquois (Ng10),43.0,-77.0,43.0,-77.0,sene1264,Seneca,see,Iroquoian,1750,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,with special reference to the Seneca tribe,Hunt(1940); Noon(1949); Quain(1937); Fenton(1940); Goldenweiser(1912-13); Morgan(1901); Morgan(1877); Morgan(1871); ,1750,7,"Mixed (EA017  and/or EA019 > 1,and EA021 not equal to 9)",See related comment(s) by Murdock: variable EA019: But the kindred Mohawk and Oneida tribes lacked moieties,with special reference to the Seneca tribe,Hunt(1940); Noon(1949); Quain(1937); Fenton(1940); Goldenweiser(1912-13); Morgan(1901); Morgan(1877); Morgan(1871); 
Ethnographic Atlas,Uttar Pradesh,Ef11,xd663,Uttar Pradesh (Ef11),26.0,83.0,26.0,83.0,bhoj1244,Bhojpuri,bho,Indo-European,1945,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,Village and environs of Senapur,Luschinsky(1971); Luschinsky(1963); Cohn(nd); Cohn(1958); Opler(1956); Dube(1956); Pandey(1972); Opler and Singh(1954); Opler and Singh(1952); Rowe(1960); ,1945,7,"Mixed (EA017  and/or EA019 > 1,and EA021 not equal to 9)",See related comment(s) by Murdock: variable EA017: But locally exogamous sibs for the Thakur caste,Village and environs of Senapur,Luschinsky(1971); Luschinsky(1963); Cohn(nd); Cohn(1958); Opler(1956); Dube(1956); Pandey(1972); Opler and Singh(1954); Opler and Singh(1952); Rowe(1960); 
Ethnographic Atlas,Beatty,Nd33,xd1167,Beatty (Nd33),37.0,-116.0,37.0,-116.0,pana1305,Panamint,par,Uto-Aztecan,1870,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,including the Belted Range group,Steward(1941); Steward(1938); ,1870,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,including the Belted Range group,Steward(1941); Steward(1938); 
Ethnographic Atlas,Ashanti,Af3,xd208,Ashanti (Af3),7.0,-2.0,7.0,-2.0,asan1239,Asante,,Atlantic-Congo,1900,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,Kumasi State,Fortes et al.(1947); Rattray(1923); Busia(1951); Lystad(1958); Rattray(1916); Busia(1954); Rattray(1929); Rattray(1927); Fortes(1969); Fortes(1950); Fortes(1949b); Service(1963); Manoukian(1950); Wilks(1975); Wilks(1967); ,1900,2,"Duolateral (EA017 > 1, EA019 > 1, EA021 = 9 or EA021 = 0)",,Kumasi State,Fortes et al.(1947); Rattray(1923); Busia(1951); Lystad(1958); Rattray(1916); Busia(1954); Rattray(1929); Rattray(1927); Fortes(1969); Fortes(1950); Fortes(1949b); Service(1963); Manoukian(1950); Wilks(1975); Wilks(1967); 
Ethnographic Atlas,Tetela,Ae25,xd144,Tetela (Ae25),-4.0,25.0,-4.0,25.0,tete1250,Tetela,tll,Atlantic-Congo,,NA,Missing data,,,,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,with special reference to the northern Tetela,Heusch(1955); Torday and Joyce(1922b); Van der Kerken(1944); 
Ethnographic Atlas,Hadendowa,Ca43,xd452,Hadendowa (Ca43),18.0,36.0,18.0,36.0,hade1248,Hadendoa,,Afro-Asiatic,,NA,Missing data,,,,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Rober(1928); Owen(1937); 
Ethnographic Atlas,Duala,Ae12,xd130,Duala (Ae12),4.0,10.0,4.0,10.0,dual1243,Duala,dua,Atlantic-Congo,1940,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Ardener(1956); Buchner(1887); Brutsch(1950); ,1940,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",See related comment(s) by Murdock: variable EA019: Matrilineal descent was formerly recognized,,Ardener(1956); Buchner(1887); Brutsch(1950); 
Ethnographic Atlas,Mangaians,Ij1,xd889,Mangaians (Ij1),-21.93,-157.91,-22.0,-158.0,raro1241,Rarotongan,rar,Austronesian,1820,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Buck(1934); ,1820,5,"Ambilineal (EA017 = 1, EA019 = 1, EA021 = 3 or EA021 = 4 or EA021 = 5)",,,Buck(1934); 
Ethnographic Atlas,Chokwe,Ac12,xd36,Chokwe (Ac12),-10.0,21.0,-10.0,21.0,chok1245,Chokwe,cjk,Atlantic-Congo,1920,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Jaspert and Jaspert(1930); McCulloch(1951); Baumann(1935); Torday and Joyce(1922b); ,1920,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,Jaspert and Jaspert(1930); McCulloch(1951); Baumann(1935); Torday and Joyce(1922b); 
Ethnographic Atlas,Santal,Ef1,xd661,Santal (Ef1),24.0,87.0,24.0,87.0,sant1410,Santali,sat,Austroasiatic,1940,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,Bankura and Berghum Districts,Datta-Majumder(1956); Mukherjea(1943); Das(1967); Culshaw(1949); ,1940,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,Bankura and Berghum Districts,Datta-Majumder(1956); Mukherjea(1943); Das(1967); Culshaw(1949); 
Ethnographic Atlas,Coos,Nb21,xd1081,Coos (Nb21),43.0,-124.0,43.0,-124.0,coos1249,Coos,csz,Coosan,1860,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Jacobs(1940); Barnett(1937); ,1860,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Jacobs(1940); Barnett(1937); 
Ethnographic Atlas,Ngbandi,Ai26,xd355,Ngbandi (Ai26),4.0,22.0,4.0,22.0,nort2774,Northern Ngbandi,ngb,Atlantic-Congo,1920,6,"Omaha, i.e., MoBrCh equated with MoBr or Mo and/or FaSiCh with SiCh(ms) or Ch",,,Tanghe(1928); Nelson(1951); Burssens(1958); ,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Tanghe(1928); Nelson(1951); Burssens(1958); 
Ethnographic Atlas,Makah,Nb24,xd1084,Makah (Nb24),48.33,-124.62,48.0,-125.0,maka1318,Makah,myh,Wakashan,1860,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Colson(1953); Swan(1868); ,1860,5,"Ambilineal (EA017 = 1, EA019 = 1, EA021 = 3 or EA021 = 4 or EA021 = 5)",,,Colson(1953); Swan(1868); 
Ethnographic Atlas,Khalka,Eb3,xd611,Khalka (Eb3),46.0,97.0,46.0,97.0,halh1238,Halh Mongolian,khk,Mongolic,1940,6,"Omaha, i.e., MoBrCh equated with MoBr or Mo and/or FaSiCh with SiCh(ms) or Ch",,Narobanchin Territory,Friters(1949); Maiskii(1921); Ballis(1956); Vreeland(1954); Rupen(1956); ,1940,7,"Mixed (EA017  and/or EA019 > 1,and EA021 not equal to 9)",,Narobanchin Territory,Friters(1949); Maiskii(1921); Ballis(1956); Vreeland(1954); Rupen(1956); 
Ethnographic Atlas,Tillamook,Nb20,xd1080,Tillamok (Nb20),44.75,-123.72,45.0,-124.0,till1254,Tillamook,til,Salishan,,NA,Missing data,,,,1870,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Boas(1923); Barnett(1937); 
Ethnographic Atlas,Haisla,Nb8,xd1105,Haisla (Nb8),54.0,-129.0,54.0,-129.0,hais1244,Haisla,has,Wakashan,1880,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Olson(1940); Lopatin(1945); ,1880,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,Olson(1940); Lopatin(1945); 
Ethnographic Atlas,Tigon,Ah25,xd315,Tigon (Ah25),17.0,11.0,17.0,11.0,tigo1236,Tigon Mbembe,nza,Atlantic-Congo,,NA,Missing data,,,,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Meek(1931d); Kaberry(1952); 
Ethnographic Atlas,Ely Shoshoni,Nd38,xd1172,Ely Shoshoni (Nd38),39.0,-115.0,39.0,-115.0,west2622,Western Shoshoni,,Uto-Aztecan,1870,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Steward(1941); Steward(1938); ,1870,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Steward(1941); Steward(1938); 
Ethnographic Atlas,Dani,Ie38,xd816,Dani (Ie38),-4.0,139.0,-4.0,139.0,midg1235,Mid Grand Valley Dani,dnt,Nuclear Trans New Guinea,1960,6,"Omaha, i.e., MoBrCh equated with MoBr or Mo and/or FaSiCh with SiCh(ms) or Ch",,with special reference to the Dugum group of the Grand Valley of the Balim River,Heider(1967); Heider(1965); ,1960,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,with special reference to the Dugum group of the Grand Valley of the Balim River,Heider(1967); Heider(1965); 
Ethnographic Atlas,Lhota,Ei2,xd707,Lhota (Ei2),27.0,94.0,27.0,94.0,loth1237,Lotha Naga,njh,Sino-Tibetan,1920,6,"Omaha, i.e., MoBrCh equated with MoBr or Mo and/or FaSiCh with SiCh(ms) or Ch",,,Mills(1922); ,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Mills(1922); 
Ethnographic Atlas,Umatilla,Nd19,xd1151,Umatilla (Nd19),46.0,-119.0,46.0,-119.0,umat1237,Umatilla,uma,Sahaptian,1860,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Ray(1942); Ray(1939); Rigsby(1963); ,1860,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Ray(1942); Ray(1939); Rigsby(1963); 
Ethnographic Atlas,Kurama,Ah21,xd311,Kurama (Ah21),10.0,9.0,10.0,9.0,kura1249,Kurama,krh,Atlantic-Congo,1920,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Gunn(1956); Meek(1931d); ,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Gunn(1956); Meek(1931d); 
Ethnographic Atlas,Hwana,Ah37,xd328,Hona (Ah37),10.0,13.0,10.0,13.0,hwan1240,Hwana,hwo,Afro-Asiatic,1920,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Meek(1931d); ,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Meek(1931d); 
Ethnographic Atlas,Heiltsuk,Nb23,xd1083,Bellabella (Nb23),52.0,-128.0,52.0,-128.0,bell1263,Bella Bella,,Wakashan,1880,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Boas(1938); Olson(1955); Drucker(1950); ,1880,5,"Ambilineal (EA017 = 1, EA019 = 1, EA021 = 3 or EA021 = 4 or EA021 = 5)",,,Boas(1938); Olson(1955); Drucker(1950); 
Ethnographic Atlas,Bisayan,Ia18,xd741,Bisayan (Ia18),10.0,123.0,10.0,123.0,akla1241,Aklanon,akl,Austronesian,1950,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,with special reference to the village of Manland in western Negros,Sibley(1963); Sibley(1959); ,1950,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,with special reference to the village of Manland in western Negros,Sibley(1963); Sibley(1959); 
Ethnographic Atlas,Shasta,Nb32,xd1093,Shasta (Nb32),41.0,-122.0,41.0,-122.0,shas1239,Shasta,sht,Shastan,1860,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,with special reference to the Shastika or eastern Shasta,Dixon(1907); Kroeber(1925d); Voegelin(1942); Holt(1946); ,1860,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,with special reference to the Shastika or eastern Shasta,Dixon(1907); Kroeber(1925d); Voegelin(1942); Holt(1946); 
Ethnographic Atlas,Lalia,Ae23,xd142,Lalia (Ae23),-1.0,23.0,-1.0,23.0,lali1242,Lalia,lal,Bookkeeping,,NA,Missing data,,,,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Maes(1934); Rijek(1937); Van der Kerken(1944); 
Ethnographic Atlas,Kwakiutl,Nb3,xd1090,Kwakiutl (Nb3),51.0,-127.49,51.0,-128.0,kwak1269,Kwakiutl,kwk,Wakashan,1890,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Boas(1909); Boas(1895); Ford(1941); Rohner(1965); Goldman(1937); Codere(1950); Boas(1966); Benedict(1934b); ,1890,5,"Ambilineal (EA017 = 1, EA019 = 1, EA021 = 3 or EA021 = 4 or EA021 = 5)",,,Boas(1909); Boas(1895); Ford(1941); Rohner(1965); Goldman(1937); Codere(1950); Boas(1966); Benedict(1934b); 
Ethnographic Atlas,Takelma,Nb30,xd1091,Takelma (Nb30),42.0,-123.0,42.0,-123.0,take1257,Takelma,tkm,Takelma,1860,8,"Mixed or variant patterns not adequately represented by any of the foregoing symbols. The details are given under ""Classification by Clusters.""","FaSiSo equated with FaBr; MoBrDa equated with MoSi; a separate term for MoBrSo, possibly also used for FaSiDa",,Sapir(1907); ,1860,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Sapir(1907); 
Ethnographic Atlas,Bisa,Ag53,xd292,Bisa (Ag53),12.0,0.0,12.0,0.0,biss1248,Bissa,bib,Mande,1960,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,with special reference to those of Garango,Bernard(1966); ,1960,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,with special reference to those of Garango,Bernard(1966); 
Ethnographic Atlas,Mossi (Ouagadougou),Ag47,xd285,Mossi Ouagadou (Ag47),12.0,-2.0,12.0,-2.0,moss1236,Mossi,mos,Atlantic-Congo,1900,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,with special reference to those of Ouagadougou (see Ag2 for those of Yatenga),Mangin(1921); Tauxier(1912); Skinner(1964); Skinner(1958); Marc(1909); Dim Delobosom(1933); ,1900,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,with special reference to those of Ouagadougou (see Ag2 for those of Yatenga),Mangin(1921); Tauxier(1912); Skinner(1964); Skinner(1958); Marc(1909); Dim Delobosom(1933); 
Ethnographic Atlas,Moru,Ai34,xd364,Moru (Ai34),5.0,30.0,5.0,30.0,moru1253,Moru,mgd,Central Sudanic,,NA,Missing data,,,,1880,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Baxter and Butt(1953); Felkin(1883); Nalder(1937); Seligman and Seligman(1932); 
Ethnographic Atlas,Kikuyu,Ad4,xd109,Kikuyu (Ad4),-1.0,37.0,-1.0,37.0,kiku1240,Kikuyu,kik,Atlantic-Congo,1930,6,"Omaha, i.e., MoBrCh equated with MoBr or Mo and/or FaSiCh with SiCh(ms) or Ch",Entry follows Middleton; Sluiter reports a mixture of Hawaiian and Eskimo terms,Fort Hall or Metume district,Routledge and Routledge(1910); Tignor(1976); Middleton(1953); Kenyatta(1939); Cagnolo(1933); Ross(1968); MacPhee(1968); Hailey(1950); Lambert(1956); Lambert(1950); Leakey(1977); Leakey(1952); ,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,Fort Hall or Metume district,Routledge and Routledge(1910); Tignor(1976); Middleton(1953); Kenyatta(1939); Cagnolo(1933); Ross(1968); MacPhee(1968); Hailey(1950); Lambert(1956); Lambert(1950); Leakey(1977); Leakey(1952); 
Ethnographic Atlas,Rangi,Ad25,xd93,Rangi (Ad25),-5.0,36.0,-5.0,36.0,lang1320,Langi,lag,Atlantic-Congo,,NA,Missing data,,,,1900,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,Gray(1953); Baumstark(1900); Kannenberg(1900); 
Ethnographic Atlas,Tututni,Nb31,xd1092,Tututni (Nb31),42.0,-124.0,42.0,-124.0,tutu1242,Tututni,tuu,Athapaskan-Eyak-Tlingit,1870,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Du Bois(1936); Drucker(1936); Barnett(1937); ,1870,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Du Bois(1936); Drucker(1936); Barnett(1937); 
Ethnographic Atlas,Kuba,Ac4,xd66,Kuba (Ac4),-5.0,22.0,-5.0,22.0,bush1247,Bushoong,buf,Atlantic-Congo,1910,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,"with special reference to the Bushoong, the central subtribe",Vansina(1962); Torday and Joyce(1910); Vansina(1954a); ,1910,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,"with special reference to the Bushoong, the central subtribe",Vansina(1962); Torday and Joyce(1910); Vansina(1954a); 
Ethnographic Atlas,Mafa,Ah7,xd334,Matakam (Ah7),11.0,14.0,11.0,14.0,mafa1239,Mafa,maf,Afro-Asiatic,1940,6,"Omaha, i.e., MoBrCh equated with MoBr or Mo and/or FaSiCh with SiCh(ms) or Ch",,,Hinderling(1955); Lavergne(1949); Lembezat(1961); ,1940,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Hinderling(1955); Lavergne(1949); Lembezat(1961); 
Ethnographic Atlas,Asben,Cc10,xd488,Asben (Cc10),18.0,8.0,18.0,8.0,tawa1287,Tawallammat Tan Ataram,,Afro-Asiatic,1900,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Rodd(1926); Nicolas(1950); Nicolaisen(1963); Joubert(1939); Jean(1909); ,1900,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,Rodd(1926); Nicolas(1950); Nicolaisen(1963); Joubert(1939); Jean(1909); 
Ethnographic Atlas,Karuk,Nb34,xd1095,Karok (Nb34),42.0,-123.0,42.0,-123.0,karo1304,Karok,kyh,Karok,1860,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Gifford(1922h); Kroeber(1925c); Driver(1939); ,1860,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Gifford(1922h); Kroeber(1925c); Driver(1939); 
Ethnographic Atlas,Atsakudokwa,Nd23,xd1156,Atsakudokwa (Nd23),42.0,-118.0,42.0,-118.0,nort1551,North Northern Paiute,,Uto-Aztecan,,NA,Missing data,,,,1870,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Stewart(1941); 
Ethnographic Atlas,Chácobo,Se11,xd1364,Chacobo (Se11),-12.0,-67.0,-12.0,-67.0,chac1251,Chácobo,cao,Pano-Tacanan,1960,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Prost(1965); ,1960,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Prost(1965); 
